team_name,quarter_label,sprint_key,sprint_sequence,sprint_name,sprint_start_date,sprint_end_date,sprint_length_weeks
Team ASAP,2026-Q2,2026-Q2-S6,6,ASAP - 26Q2S6,2026-06-17,2026-06-30,2
Team ASAP,2026-Q3,2026-Q3-S1,1,ASAP - 26Q3S1,2026-07-08,2026-07-21,2
Team Connexpoint,2025-Q1,2025-Q1-S1,1,CXP25Q1 - Sp 1,2025-01-02,2025-01-15,2
Team Connexpoint,2025-Q1,2025-Q1-S2,2,CXP25Q1 - Sp 2,2025-01-15,2025-01-29,2
Team Connexpoint,2025-Q1,2025-Q1-S3,3,CXP25Q1 - Sp 3,2025-01-29,2025-02-12,2
Team Connexpoint,2025-Q1,2025-Q1-S4,4,CXP25Q1 - Sp 4,2025-02-12,2025-02-26,2
Team Connexpoint,2025-Q1,2025-Q1-S5,5,CXP25Q1 - Sp 5,2025-02-26,2025-03-12,2
Team Connexpoint,2025-Q1,2025-Q1-S6,6,CXP25Q1 - Sp 6,2025-03-12,2025-03-26,2
Team Connexpoint,2025-Q2,2025-Q2-S0,0,CXP25Q2 - Sprint 0,2025-03-26,2025-04-02,2
Team Connexpoint,2025-Q2,2025-Q2-S1,1,CXP25Q2 - Sprint 1,2025-04-02,2025-04-16,2
Team Connexpoint,2025-Q2,2025-Q2-S2,2,CXP25Q2 - Sprint 2,2025-04-17,2025-04-30,2
Team Connexpoint,2025-Q2,2025-Q2-S3,3,CXP25Q2 - Sprint 3,2025-04-30,2025-05-14,2
Team Connexpoint,2025-Q2,2025-Q2-S4,4,CXP25Q2 - Sprint 4,2025-05-14,2025-05-28,2
Team Connexpoint,2025-Q2,2025-Q2-S5,5,CXP25Q2 - Sprint 5,2025-05-28,2025-06-11,2
Team Connexpoint,2025-Q2,2025-Q2-S6,6,CXP25Q2 - Sprint 6,2025-06-12,2025-06-25,2
Team Connexpoint,2025-Q3,2025-Q3-S0,0,CXP25Q3 - Sprint 0,2025-06-26,2025-07-02,2
Team Connexpoint,2025-Q3,2025-Q3-S1,1,CXP25Q3 - Sprint 1,2025-07-02,2025-07-16,2
Team Connexpoint,2025-Q3,2025-Q3-S2,2,CXP25Q3 - Sprint 2,2025-07-16,2025-07-30,2
Team Connexpoint,2025-Q3,2025-Q3-S3,3,CXP25Q3 - Sprint 3,2025-07-31,2025-08-13,2
Team Connexpoint,2025-Q3,2025-Q3-S4,4,CXP25Q3 - Sprint 4,2025-08-14,2025-08-27,2
Team Connexpoint,2025-Q3,2025-Q3-S5,5,CXP25Q3 - Sprint 5,2025-08-29,2025-09-10,2
Team Connexpoint,2025-Q3,2025-Q3-S6,6,CXP25Q3 - Sprint 6,2025-09-10,2025-09-24,2
Team Connexpoint,2025-Q4,2025-Q4-S0,0,CXP25Q4 - Sprint 0,2025-09-25,2025-10-01,2
Team Connexpoint,2025-Q4,2025-Q4-S1,1,CXP25Q4 - Sprint 1,2025-10-01,2025-10-15,2
Team Connexpoint,2025-Q4,2025-Q4-S2,2,CXP25Q4 - Sprint 2,2025-10-17,2025-10-29,2
Team Connexpoint,2025-Q4,2025-Q4-S3,3,CXP25Q4 - Sprint 3,2025-10-29,2025-11-12,2
Team Connexpoint,2025-Q4,2025-Q4-S4,4,CXP25Q4 - Sprint 4,2025-11-13,2025-11-27,2
Team Connexpoint,2025-Q4,2025-Q4-S5,5,CXP25Q4 - Sprint 5,2025-11-26,2025-12-10,2
Team Connexpoint,2025-Q4,2025-Q4-S6,6,CXP25Q4 - Sprint 6,2025-12-11,2026-01-07,2
Team Connexpoint,2026-Q1,2026-Q1-S1,1,CXP26Q1 - Sprint 1,2026-01-07,2026-01-21,2
Team Connexpoint,2026-Q1,2026-Q1-S2,2,CXP26Q1 - Sprint 2,2026-01-22,2026-02-04,2
Team Connexpoint,2026-Q1,2026-Q1-S3,3,CXP26Q1 - Sprint 3,2026-02-04,2026-02-18,2
Team Connexpoint,2026-Q1,2026-Q1-S4,4,CXP26Q1 - Sprint 4,2026-02-18,2026-03-04,2
Team Connexpoint,2026-Q1,2026-Q1-S5,5,CXP26Q1 - Sprint 5,2026-03-05,2026-03-18,2
Team Connexpoint,2026-Q1,2026-Q1-S6,6,CXP26Q1 - Sprint 6,2026-03-20,2026-04-01,2
Team Connexpoint,2026-Q2,2026-Q2-S0,0,CXP26Q2 - Sprint 0,2026-04-02,2026-04-08,2
Team Connexpoint,2026-Q2,2026-Q2-S1,1,CXP26Q2 - Sprint 1,2026-04-08,2026-04-22,2
Team Connexpoint,2026-Q2,2026-Q2-S2,2,CXP26Q2 - Sprint 2,2026-04-23,2026-05-06,2
Team Connexpoint,2026-Q2,2026-Q2-S3,3,CXP26Q2 - Sprint 3,2026-05-07,2026-05-20,2
Team Connexpoint,2026-Q2,2026-Q2-S4,4,CXP26Q2 - Sprint 4,2026-05-20,2026-06-03,2
Team Connexpoint,2026-Q2,2026-Q2-S5,5,CXP26Q2 - Sprint 5,2026-06-04,2026-06-17,2
Team Connexpoint,2026-Q2,2026-Q2-S6,6,CXP26Q2 - Sprint 6,2026-06-17,2026-07-01,2
Team Connexpoint,2026-Q3,2026-Q3-S0,0,CXP26Q3 - Sprint 0,2026-07-02,2026-07-08,2
Team Connexpoint,2026-Q3,2026-Q3-S1,1,CXP26Q3 - Sprint 1,2026-07-10,2026-07-22,2
Team Smartcare,2025-Q1,2025-Q1-S1,1,VC 25Q1S4,2025-02-12,2025-02-26,2
Team Smartcare,2025-Q1,2025-Q1-S2,2,VC 25Q1S5 - 02/26 - 03/11,2025-02-26,2025-03-12,2
Team Smartcare,2025-Q1,2025-Q1-S3,3,VC 25Q1S6 - 03/12 - 03/25,2025-03-12,2025-03-25,2
Team Smartcare,2025-Q2,2025-Q2-S1,1,VC 25Q2S1,2025-04-02,2025-04-16,2
Team Smartcare,2025-Q2,2025-Q2-S2,2,VC 25Q2S2,2025-04-16,2025-04-30,2
Team Smartcare,2025-Q2,2025-Q2-S3,3,VC 25Q2S3,2025-04-30,2025-05-14,2
Team Smartcare,2025-Q2,2025-Q2-S4,4,VC 25Q2S4,2025-05-14,2025-05-28,2
Team Smartcare,2025-Q2,2025-Q2-S5,5,VC 25Q2S5,2025-05-28,2025-06-11,2
Team Smartcare,2025-Q2,2025-Q2-S6,6,VC 25Q2S6,2025-06-11,2025-06-25,2
Team Smartcare,2025-Q3,2025-Q3-S1,1,VC 25Q3S1,2025-07-02,2025-07-16,2
Team Smartcare,2025-Q3,2025-Q3-S2,2,VC 25Q3S2,2025-07-16,2025-07-30,2
Team Smartcare,2025-Q3,2025-Q3-S3,3,VC 25Q3S3,2025-07-30,2025-08-13,2
Team Smartcare,2025-Q3,2025-Q3-S4,4,VC 25Q3S4,2025-08-13,2025-08-27,2
Team Smartcare,2025-Q3,2025-Q3-S5,5,VC 25Q3S5,2025-08-28,2025-09-10,2
Team Smartcare,2025-Q3,2025-Q3-S6,6,VC 25Q3S6,2025-09-10,2025-09-24,2
Team Smartcare,2025-Q4,2025-Q4-S1,1,VC 25Q4S1,2025-10-01,2025-10-15,2
Team Smartcare,2025-Q4,2025-Q4-S2,2,VC 25Q4S2,2025-10-15,2025-10-29,2
Team Smartcare,2025-Q4,2025-Q4-S3,3,VC 25Q4S3,2025-10-29,2025-11-12,2
Team Smartcare,2025-Q4,2025-Q4-S4,4,VC 25Q4S4,2025-11-12,2025-11-26,2
Team Smartcare,2025-Q4,2025-Q4-S5,5,VC 25Q4S5,2025-11-26,2025-12-10,2
Team Smartcare,2025-Q4,2025-Q4-S6,6,VC 25Q4S6,2025-12-10,2025-12-24,2
Team Smartcare,2026-Q1,2026-Q1-S1,1,VC 26Q1S1,2026-01-12,2026-01-21,2
Team Smartcare,2026-Q1,2026-Q1-S1,1,VC 26Q1S6,2026-03-19,2026-04-01,2
Team Smartcare,2026-Q1,2026-Q1-S2,2,VC 26Q1S2,2026-01-22,2026-02-04,2
Team Smartcare,2026-Q1,2026-Q1-S3,3,VC 26Q1S3,2026-02-04,2026-02-18,2
Team Smartcare,2026-Q1,2026-Q1-S4,4,VC 26Q1S4,2026-02-18,2026-03-04,2
Team Smartcare,2026-Q1,2026-Q1-S5,5,VC 26Q1S5,2026-03-04,2026-03-18,2
Team Smartcare,2026-Q2,2026-Q2-S1,1,VC 26Q2S1,2026-04-09,2026-04-22,2
Team Smartcare,2026-Q2,2026-Q2-S1,1,VC 26Q1S6,2026-03-19,2026-04-01,2
Team Smartcare,2026-Q2,2026-Q2-S2,2,VC 26Q2S2,2026-04-22,2026-05-06,2
Team Smartcare,2026-Q2,2026-Q2-S3,3,VC 26Q2S3,2026-05-06,2026-05-20,2
Team Smartcare,2026-Q2,2026-Q2-S4,4,VC 26Q2S4,2026-05-20,2026-06-03,2
Team Smartcare,2026-Q2,2026-Q2-S5,5,VC 26Q2S5,2026-06-03,2026-06-17,2
Team Smartcare,2026-Q2,2026-Q2-S6,6,VC 26Q2S6,2026-06-17,2026-06-23,2
Team Smartcare,2026-Q3,2026-Q3-S1,1,VC 26Q3S1,2026-07-08,2026-07-21,2
Team Webstore,2025-Q1,2025-Q1-S1,1,WS25Q1S1 - Angelic Avicii,2025-01-02,2025-01-15,2
Team Webstore,2025-Q1,2025-Q1-S2,2,WS25Q1S2-Basic Backstreet Boys,2025-01-15,2025-01-29,2
Team Webstore,2025-Q1,2025-Q1-S3,3,WS25Q1S3-Cringe Chumbawumba,2025-01-29,2025-02-12,2
Team Webstore,2025-Q1,2025-Q1-S4,4,WS25Q1S4-Daft Daft Punk,2025-02-12,2025-02-26,2
Team Webstore,2025-Q1,2025-Q1-S5,5,WS25Q1S5-Elvish Elvis,2025-02-26,2025-03-12,2
Team Webstore,2025-Q1,2025-Q1-S6,6,WS25Q1S6-Flying Foo Fighters,2025-03-12,2025-03-26,2
Team Webstore,2025-Q2,2025-Q2-S2,2,WS25Q2S2 - Inexhaustible INXS,2025-04-16,2025-04-30,2
Team Webstore,2025-Q2,2025-Q2-S3,3,WS25Q2S3 - Jaded Johnny Cash,2025-04-30,2025-05-14,2
Team Webstore,2025-Q2,2025-Q2-S4,4,WS25Q2S4 - Krazy KISS,2025-05-14,2025-05-28,2
Team Webstore,2025-Q2,2025-Q2-S4,4,WS25Q2S4 - Lujoso Luis Miguel,2025-05-28,2025-06-11,2
Team Webstore,2025-Q2,2025-Q2-S4,4,WS25Q2S4-Mad Mozart,2025-06-11,2025-06-25,2
Team Webstore,2025-Q3,2025-Q3-S1,1,WS25Q3S1-Nimble NIN,2025-07-02,2025-07-16,2
Team Webstore,2025-Q3,2025-Q3-S2,2,WS25Q3S2-Outstanding Otis,2025-07-16,2025-07-30,2
Team Webstore,2025-Q3,2025-Q3-S3,3,WS25Q3S3 - Peaceful Pink Floyd,2025-07-30,2025-08-13,2
Team Webstore,2025-Q3,2025-Q3-S4,4,WS25Q3S4-Quintessential Queen,2025-08-13,2025-08-27,2
Team Webstore,2025-Q3,2025-Q3-S5,5,WS25Q3S5-Recalcitrant RATM,2025-08-27,2025-09-10,2
Team Webstore,2025-Q3,2025-Q3-S6,6,WS25Q3S6-Smoky Snoop Dogg,2025-09-10,2025-09-24,2
Team Webstore,2025-Q4,2025-Q4-S0,0,WS25Q4S0,2025-09-24,2025-10-01,2
Team Webstore,2025-Q4,2025-Q4-S1,1,WS25Q4S1 - Talented TOOL,2025-10-01,2025-10-15,2
Team Webstore,2025-Q4,2025-Q4-S2,2,WS25Q4S2 - Useful Ukulele DS,2025-10-15,2025-10-29,2
Team Webstore,2025-Q4,2025-Q4-S3,3,WS25Q4S3 - Vigorous VicenteFdz,2025-10-29,2025-11-12,2
Team Webstore,2025-Q4,2025-Q4-S4,4,WS25Q4S4 - Wacky Weird Al,2025-11-12,2025-11-26,2
Team Webstore,2025-Q4,2025-Q4-S5,5,WS25Q4S5 - Xenial The XX,2025-11-26,2025-12-10,2
Team Webstore,2025-Q4,2025-Q4-S6,6,WS25Q4S6 - Zextastic Zoé,2025-12-10,2025-12-24,2
Team Webstore,2026-Q1,2026-Q1-S1,1,WS26Q1S1 - Ape Escape,2026-01-07,2026-01-21,2
Team Webstore,2026-Q1,2026-Q1-S2,2,WS26Q1S2 - Battlefield,2026-01-22,2026-02-05,2
Team Webstore,2026-Q1,2026-Q1-S3,3,WS26Q1S3 - Cyberpunk 2077,2026-02-04,2026-02-18,2
Team Webstore,2026-Q1,2026-Q1-S4,4,WS26Q1S4 - Duke Nukem,2026-02-18,2026-03-04,2
Team Webstore,2026-Q1,2026-Q1-S5,5,WS26Q1S5 - Elden Ring,2026-03-04,2026-03-18,2
Team Webstore,2026-Q1,2026-Q1-S6,6,WS26Q1S6 - Final Fantasy,2026-03-18,2026-04-01,2
Team Webstore,2026-Q2,2026-Q2-S1,1,WS26Q2S1 - Golden Eye,2026-04-08,2026-04-22,2
Team Webstore,2026-Q2,2026-Q2-S2,2,WS26Q2S2 - Half-Life,2026-04-22,2026-05-06,2
Team Webstore,2026-Q2,2026-Q2-S3,3,WS26Q2S3 - It Takes Two,2026-05-06,2026-05-20,2
Team Webstore,2026-Q2,2026-Q2-S4,4,WS26Q2S4 - Jackbox,2026-05-20,2026-06-03,2
Team Webstore,2026-Q2,2026-Q2-S5,5,WS26Q2S5 - Kirby’s Adventure,2026-06-03,2026-06-17,2
Team Webstore,2026-Q2,2026-Q2-S6,6,WS26Q2S6 - Last of Us,2026-06-17,2026-07-01,2
Team Webstore,2026-Q3,2026-Q3-S1,1,WS26Q3S1 - Mario Kart,2026-07-08,2026-07-22,2
